waypoint1	waypoint2	distance_m	duration_s
Mt.Massive, Colorado	Mt.Elbert, Colorado	5741	1289
LaPlata Peak, Colorado	Mt.Elbert, Colorado	62590	4833
Uncompahgre Peak, Colorado	Mt.Elbert, Colorado	303370	16453
Crestone Peak, Colorado	Mt.Elbert, Colorado	211731	12580
Mt.Lincoln, Colorado	Mt.Elbert, Colorado	120682	8553
Castle Peak, Colorado	Mt.Elbert, Colorado	136509	9844
Grays Peak, Colorado	Mt.Elbert, Colorado	110201	10664
Mt.Antero, Colorado	Mt.Elbert, Colorado	103319	7510
Torreys Peak, Colorado	Mt.Elbert, Colorado	111058	7594
Quandary Peak, Colorado	Mt.Elbert, Colorado	107132	7436
Mt.Evans, Colorado	Mt.Elbert, Colorado	179144	10736
Mt.Wilson, Colorado	Mt.Elbert, Colorado	406638	19610
Mt.Cameron, Colorado	Mt.Elbert, Colorado	119395	8421
Mt.Elbert, Colorado	Mt.Shavano, Colorado	125340	7592
Mt.Elbert, Colorado	Mt.Princeton, Colorado	89554	7235
Mt.Belford, Colorado	Mt.Elbert, Colorado	55592	4686
Mt.Yale, Colorado	Mt.Elbert, Colorado	85976	5540
Crestone, Colorado	Mt.Elbert, Colorado	190879	9322
Mt.Bross, Colorado	Mt.Elbert, Colorado	119136	8395
KitCarson, Colorado	Mt.Elbert, Colorado	428810	17267
Tabeguache Peak, Colorado	Mt.Elbert, Colorado	126868	7971
Mt.Elbert, Colorado	Mt.Oxford, Colorado	53315	4449
ElDiente Peak, Colorado	Mt.Elbert, Colorado	406646	19611
Mt.Democrat, Colorado	Mt.Elbert, Colorado	146788	8113
Mt.Sneffels, Colorado	Mt.Elbert, Colorado	378755	19208
Pikes Peak, Colorado	Mt.Elbert, Colorado	233014	12727
Mt.Elbert, Colorado	SnowmassMtn., Colorado	211021	13765
Challenger Point, Colorado	Mt.Elbert, Colorado	194505	9950
Mt.Columbia, Colorado	Mt.Elbert, Colorado	76068	5667
Humboldt Peak, Colorado	Mt.Elbert, Colorado	210199	12442
Mt.Bierstadt, Colorado	Mt.Elbert, Colorado	134660	8455
Conundrum Peak, Colorado	Mt.Elbert, Colorado	131286	9420
Mt.Elbert, Colorado	Handies Peak, Colorado	331142	22858
Culebra Peak, Colorado	Mt.Elbert, Colorado	324020	15538
Mt.Elbert, Colorado	Mt.Lindsey, Colorado	288089	13461
LittleBear Peak, Colorado	Mt.Elbert, Colorado	258031	13416
Mt.Sherman, Colorado	Mt.Elbert, Colorado	37682	4426
Redcloud Peak, Colorado	Mt.Elbert, Colorado	318953	17365
Pyramid Peak, Colorado	Mt.Elbert, Colorado	124138	9605
NorthMaroon Peak, Colorado	Mt.Elbert, Colorado	124171	9598
LaPlata Peak, Colorado	Uncompahgre Peak, Colorado	291429	14724
Crestone Peak, Colorado	LaPlata Peak, Colorado	199791	10850
Mt.Lincoln, Colorado	LaPlata Peak, Colorado	140819	6853
